PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
0.56730318,-0.20372541,0.1490538,0.09090739,0.05856096,-0.23648617,0.01417283,0.00891814,0.08571268,-0.13654134
0.49450547,-0.25100282,0.16367795,0.10815086,0.07351539,-0.22676119,0.00583965,-0.00945128,0.07005614,-0.12437329
0.41292977,-0.28140691,0.15474389,0.10331456,0.09072596,-0.22084424,0.00132824,-0.0287296,0.05661146,-0.12266452
0.32867619,-0.3260397,0.16200629,0.09426447,0.10188339,-0.19092737,0.01193422,-0.04738207,0.04618451,-0.13515167
0.25177789,-0.37802434,0.15873905,0.0850152,0.1035679,-0.16056748,0.02339966,-0.07448768,0.03943083,-0.15915279
0.16544072,-0.39787462,0.13574381,0.07559344,0.10570174,-0.14139718,0.03402159,-0.09434927,0.0255022,-0.14993671
0.09713572,-0.40821689,0.10853956,0.05499413,0.07427044,-0.14617923,0.06325277,-0.10874604,0.0154535,-0.13052873
0.02338742,-0.3929688,0.08109511,0.01811551,0.0345763,-0.11198888,0.0658818,-0.14165339,0.00904078,-0.11743923
-0.01759712,-0.39943212,0.07190443,-0.0141322,0.02031533,-0.095764,0.0775128,-0.156827,0.00177517,-0.12051895
-0.03849123,-0.37298027,0.06206361,-0.04263167,-0.00492865,-0.08597665,0.09502475,-0.16319178,0.01061622,-0.13304852
-0.05646741,-0.35766247,0.04786236,-0.07045501,-0.02863488,-0.07987346,0.10513727,-0.14640354,0.02186776,-0.141257
-0.08930057,-0.35195321,0.05027646,-0.09403556,-0.04242035,-0.06295622,0.11289806,-0.14713182,0.03501502,-0.13865511
-0.13293655,-0.3630892,0.07573815,-0.13678037,-0.04869023,-0.03990435,0.12305428,-0.13926141,0.05504811,-0.14178084
-0.17196167,-0.37397301,0.07220642,-0.16917539,-0.05600297,-0.02722244,0.12811509,-0.12923835,0.06653591,-0.13451321
-0.21321024,-0.38461733,0.0898141,-0.1906402,-0.0548907,-0.00985151,0.12540938,-0.13042523,0.06943154,-0.12644047
-0.23677388,-0.38011879,0.10069209,-0.20798326,-0.05116735,-0.00542345,0.12326778,-0.12707613,0.05281044,-0.10757406
-0.23539983,-0.37660313,0.12953931,-0.21630232,-0.05367906,-0.02514648,0.10608845,-0.10404203,0.03890926,-0.08834697
-0.24903618,-0.39467832,0.12315487,-0.22055317,-0.06865729,-0.0170365,0.09311466,-0.08607623,0.05234148,-0.09428937
-0.25068095,-0.44078618,0.10301704,-0.22217607,-0.07416955,-0.00117294,0.07075745,-0.0707066,0.06404906,-0.09934638
-0.25473678,-0.46448728,0.08064581,-0.22476704,-0.07009375,-0.00211332,0.06159462,-0.04870248,0.07581815,-0.11458227
-0.25983366,-0.46816486,0.0686919,-0.22941449,-0.07862795,-0.0052461,0.040489,-0.02635613,0.07533456,-0.11215637
-0.28054291,-0.48372599,0.04763814,-0.22581254,-0.08167019,-0.00935661,0.01470894,-0.0138154,0.05417662,-0.10450538
-0.2804499,-0.50433707,0.03720074,-0.22018039,-0.0886356,-0.03039066,-0.00980493,0.00278553,0.01171769,-0.09844701
-0.26925156,-0.49258873,0.01564498,-0.22610527,-0.09910208,-0.05898531,-0.03179624,0.02892792,-0.02328767,-0.09384411
